id_request,created_date,request_state,price_eur,signed_date,,id_audit,audit_type,audit_confirmation_date,customer_name,id_organization,payment_term_days,report_published_date,audit_selected_date,authorization_requested_date,supplier_name,supplier_country,audited_product
48,2022-05-31,REPORT_AVAILABLE,6498,2022-06-08,1,102,EXISTING_AUDIT,,Customer 1,401,15,2022-06-15,2020-11-06,2022-06-08,Supplier 34,CN,Glycine
128,2023-08-20,REPORT_AVAILABLE,4517,2023-08-28,1,103,EXISTING_AUDIT,,Customer 39,402,15,2023-08-28,2022-06-24,2023-08-28,Supplier 28,CH,Ciprofloxacin
30,2024-01-10,CONTRACT_SIGNED,966,2024-01-10,1,104,EXISTING_AUDIT,,Customer 57,403,15,,2020-12-28,2024-01-10,Supplier 22,CN,Erythromycin base
120,2022-04-25,REPORT_AVAILABLE,3982,2022-05-06,1,108,EXISTING_AUDIT,2022-05-06,Customer 40,404,30,2022-06-17,2021-10-01,2022-05-06,Supplier 32,IN,Paracetamol
136,2023-03-06,REPORT_AVAILABLE,368,2023-05-16,1,111,EXISTING_AUDIT,,Customer 21,405,15,2023-05-23,2022-01-31,2023-05-16,Supplier 19,PT,Vitamin B12
150,2023-07-25,REPORT_AVAILABLE,5066,2023-09-26,1,112,EXISTING_AUDIT,,Customer 36,406,15,2023-09-27,2022-12-05,2023-09-26,Supplier 25,DE,Bisoprolol fumarate
194,2023-06-14,REPORT_AVAILABLE,492,2023-06-14,1,114,EXISTING_AUDIT,,Customer 38,407,15,2023-06-28,2022-06-22,2023-06-15,Supplier 32,IN,Lecitina
92,2023-07-13,REPORT_AVAILABLE,3545,2023-07-26,1,116,EXISTING_AUDIT,,Customer 30,408,15,2023-08-09,2022-08-23,2023-08-01,Supplier 12,IN,Paracetamol
75,2022-12-13,REPORT_AVAILABLE,3269,2022-12-22,1,117,EXISTING_AUDIT,,Customer 57,409,15,2023-01-20,2021-11-24,2022-12-23,Supplier 5,DE,Aluminium tubes
44,2023-04-25,REPORT_AVAILABLE,4187,2023-04-28,1,118,EXISTING_AUDIT,,Customer 52,410,15,2023-05-03,2021-08-30,2023-05-02,Supplier 19,PT,d-Camphor
15,2020-10-14,REPORT_AVAILABLE,8005,2020-10-19,1,119,EXISTING_AUDIT,2020-10-19,Customer 41,411,15,2020-10-20,2019-09-25,2020-10-19,Supplier 23,DK,Cetirizine
31,2024-01-10,CONTRACT_SIGNED,1822,2024-01-10,1,122,EXISTING_AUDIT,,Customer 7,412,45,,2022-06-08,,Supplier 17,IN,PVC foil
